[22:38:58] [INFO] received Windows console close event; shutting log-core down
[22:39:12] [INFO] received Windows console close event; shutting log-core down
[22:51:46] [INFO] received Windows console close event; shutting log-core down
[23:18:35] [INFO] received Windows console close event; shutting log-core down
[23:19:21] [INFO] received Windows console close event; shutting log-core down
[16:08:32] [INFO] received Windows console close event; shutting log-core down
[16:08:53] [INFO] received Windows console close event; shutting log-core down
[16:38:17] [INFO] received Windows console close event; shutting log-core down
[16:39:26] [INFO] received Windows console close event; shutting log-core down
[16:45:20] [INFO] received Windows console close event; shutting log-core down
[20:09:47] [INFO] received Windows console close event; shutting log-core down
[12:56:54] [INFO] received Windows console close event; shutting log-core down
[13:53:21] [INFO] received Windows console close event; shutting log-core down
[13:53:42] [INFO] received Windows console close event; shutting log-core down
[12:46:54] [INFO] received Windows console close event; shutting log-core down
[12:47:27] [INFO] received Windows console close event; shutting log-core down
[12:47:50] [INFO] received Windows console close event; shutting log-core down
[12:49:30] [INFO] received Windows console close event; shutting log-core down
[12:50:35] [INFO] received Windows console close event; shutting log-core down
[15:34:55] [INFO] received Windows console close event; shutting log-core down
[21:05:59] [INFO] received Windows console close event; shutting log-core down
[21:07:32] [INFO] received Windows console close event; shutting log-core down
[21:22:50] [INFO] received Windows console close event; shutting log-core down
[21:58:24] [INFO] received Windows console close event; shutting log-core down
[23:22:38] [INFO] received Windows console close event; shutting log-core down
[23:25:56] [INFO] received Windows console close event; shutting log-core down
[23:29:16] [INFO] received Windows console close event; shutting log-core down
[23:33:41] [INFO] received Windows console close event; shutting log-core down
[16:59:37] [INFO] received Windows console close event; shutting log-core down
[17:12:35] [INFO] received Windows console close event; shutting log-core down
[17:15:39] [INFO] received Windows console close event; shutting log-core down
[18:02:20] [INFO] received Windows console close event; shutting log-core down
[20:11:47] [INFO] received Windows console close event; shutting log-core down
[20:28:22] [INFO] received Windows console close event; shutting log-core down
[22:44:40] [INFO] received Windows console close event; shutting log-core down
[22:54:35] [INFO] received Windows console close event; shutting log-core down
[23:30:48] [INFO] received Windows console close event; shutting log-core down
[18:30:07] [INFO] received Windows console close event; shutting log-core down
[20:29:14] [INFO] received Windows console close event; shutting log-core down
[22:13:10] [INFO] received Windows console close event; shutting log-core down
[23:05:35] [INFO] received Windows console close event; shutting log-core down
[16:46:45] [INFO] received Windows console close event; shutting log-core down
[00:11:24] [INFO] received Windows console close event; shutting log-core down
[00:15:01] [INFO] received Windows console close event; shutting log-core down
[00:18:02] [INFO] received Windows console close event; shutting log-core down
[13:35:54] [INFO] received Windows console close event; shutting log-core down
[16:21:44] [INFO] received Windows console close event; shutting log-core down
[17:10:48] [INFO] received Windows console close event; shutting log-core down
[23:39:06] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:50:59] [INFO] received Windows console close event; shutting log-core down
[00:21:19] [INFO] received Windows console close event; shutting log-core down
[12:47:51] [INFO] received Windows console close event; shutting log-core down
[13:40:43] [INFO] received Windows console close event; shutting log-core down
[01:01:13] [INFO] received Windows console close event; shutting log-core down
[11:52:01] [INFO] received Windows console close event; shutting log-core down
[18:03:54] [INFO] received Windows console close event; shutting log-core down
[18:04:34] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:05:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:42:25] [INFO] received Windows console close event; shutting log-core down
[13:15:56] [INFO] received Windows console close event; shutting log-core down
[13:51:11] [INFO] received Windows console close event; shutting log-core down
[23:55:52] [INFO] received Windows console close event; shutting log-core down
[10:46:14] [INFO] received Windows console close event; shutting log-core down
[00:08:59] [INFO] received Windows console close event; shutting log-core down
[14:17:18] [INFO] received Windows console close event; shutting log-core down
[14:39:27] [INFO] received Windows console close event; shutting log-core down
[16:10:29] [INFO] received Windows console close event; shutting log-core down
[22:09:20] [INFO] received Windows console close event; shutting log-core down
[00:40:08] [INFO] received Windows console close event; shutting log-core down
[01:39:44] [INFO] received Windows console close event; shutting log-core down
[00:08:25] [INFO] received Windows console close event; shutting log-core down
[13:18:13] [INFO] received Windows console close event; shutting log-core down
[00:00:35] [INFO] received Windows console close event; shutting log-core down
[02:40:42] [INFO] received Windows console close event; shutting log-core down
[11:58:31] [INFO] received Windows console close event; shutting log-core down
[23:28:57] [INFO] received Windows console close event; shutting log-core down
[00:57:17] [INFO] received Windows console close event; shutting log-core down
[22:06:20] [INFO] received Windows console close event; shutting log-core down
[00:56:59] [INFO] received Windows console close event; shutting log-core down
[23:45:23] [INFO] received Windows console close event; shutting log-core down
[02:03:44] [INFO] received Windows console close event; shutting log-core down
[02:21:40] [INFO] received Windows console close event; shutting log-core down
[02:25:17] [INFO] received Windows console close event; shutting log-core down
[02:54:01] [INFO] received Windows console close event; shutting log-core down
[03:09:17] [INFO] received Windows console close event; shutting log-core down
[03:17:28] [INFO] received Windows console close event; shutting log-core down
[02/05/25 22:49:11] [ERROR] signal 6 (SIGABRT) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[02/06/25 10:53:51] [ERROR] signal 6 (SIGABRT) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[02/06/25 10:56:00] [ERROR] signal 6 (SIGABRT) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[02/06/25 12:21:54] [ERROR] signal 6 (SIGABRT) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
